file,sheet,method,row_index,column_name,value
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,OBJHELY,14037.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,CSOPHELY,14037
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,CSOPSZAM,10
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,VIZIGKOD,7
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,OBJSZAM,K-28
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,TERMELES ezerm3/év,2
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,SZARMAZAS,2
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,TELEPULES_KAT,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,TELEPÜLÉS,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,HELYINEV_KAT,Rozinka Károly 1. számú öntözőtelep 1-es öntözőkút
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,HELYINEV,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,EOVY,873900
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,EOVX,316150.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,TSZF,104.34
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,OBJKOD,k
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,TALP,45.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,SZURO_F,19.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,SZURO_A,29.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,SZURO_DB,1.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,SZUROHOSSZ,10.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,LETESITESEVE,1994.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,NYUGALMI,-3.8
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,UZEMI,-8.9
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,HOZAM,1300.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,HOMERS,11.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,Z,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,1.0,AA,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,OBJHELY,14037.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,CSOPHELY,14037
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,CSOPSZAM,30
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,VIZIGKOD,7
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,OBJSZAM,K-31
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,TERMELES ezerm3/év,5
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,SZARMAZAS,2
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,TELEPULES_KAT,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,TELEPÜLÉS,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,HELYINEV_KAT,Poncsák András I. ö.t. 1-es öntözőkút    
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,HELYINEV,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,EOVY,873888
